Jogo,Título,Desconto,Preço Atual,Rating,Data de Lançamento,Informação Extra
1,Sea Power : Naval Combat in the Missile Age,-10.0,121.49,81.7,Nov 2024,Introductory Offer | Top Seller | new historical low
2,Mouthwashing,-10.0,37.79,94.21,Sep 2024,Top Seller
3,Minishoot' Adventures,-25.0,29.99,93.92,Apr 2024,new historical low
4,UNDERDOGS,-42.0,51.61,92.48,Jan 2024,new historical low
5,STORY OF SEASONS: Friends of Mineral Town,-75.0,23.49,90.71,Jul 2020,new historical low
6,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,-90.0,4.99,90.61,Sep 2011,new historical low
7,Wall World,-70.0,5.09,89.1,Apr 2023,new historical low
8,Anger Foot,-30.0,51.79,88.86,Jul 2024,new historical low
9,Rune Factory 3 Special,-60.0,55.99,88.66,Sep 2023,new historical low
10,Maniac,-35.0,11.04,87.18,Mar 2024,new historical low
11,Coffee Caravan,-25.0,28.86,86.78,May 2024,new historical low
12,Rising Storm 2: Vietnam,-95.0,2.29,85.3,May 2017,new historical low
13,Ratopia,-25.0,44.99,84.66,Nov 2023,new historical low
14,Rune Factory 4 Special,-70.0,35.99,83.93,Dec 2021,new historical low
15,Swords and Sandals Immortals,-60.0,13.19,81.9,Mar 2023,new historical low
16,STORY OF SEASONS: Pioneers of Olive Town,-65.0,55.99,80.5,Sep 2021,new historical low
17,shapez 2,-25.0,41.24,95.07,Aug 2024,new historical low
18,候鸟,-50.0,11.39,93.74,Jan 2023,new historical low
19,The Legend of Heroes: Trails in the Sky SC,-35.0,45.49,93.71,Oct 2015,
20,月に寄りそう乙女の作法,-43.0,43.02,93.49,Jun 2022,new historical low
21,Insomnia: Theater in the Head,-26.0,6.46,92.9,Dec 2022,new historical low
22,"Little Kitty, Big City",-30.0,51.79,92.66,May 2024,new historical low
23,BZZZT,-60.0,7.99,91.72,Nov 2023,new historical low
24,The Legend of Heroes: Trails of Cold Steel,-50.0,36.49,91.51,Aug 2017,
25,Kitsune Tails,-20.0,31.99,91.48,Aug 2024,new historical low
26,Battle Chef Brigade Deluxe,-85.0,5.69,91.43,Nov 2017,new historical low
27,SENRAN KAGURA ESTIVAL VERSUS,-70.0,17.39,91.09,Mar 2017,
28,SENRAN KAGURA SHINOVI VERSUS,-60.0,15.19,91.09,Jun 2016,
29,ASTRONEER,-50.0,27.99,90.89,Dec 2016,Top Seller
30,The Legend of Heroes: Trails in the Sky,-50.0,18.49,90.85,Jul 2014,
31,突然＊恋人,-30.0,62.29,90.82,Apr 2024,new historical low
32,Otome Riron to Sono Shuuhen -École de Paris-,-33.0,72.35,90.24,Dec 2023,new historical low
33,Iron Meat,-20.0,47.99,90.16,Sep 2024,new historical low
34,The Legend of Heroes: Trails in the Sky the 3rd,-25.0,41.99,89.72,May 2017,
35,The Legend of Heroes: Trails of Cold Steel II,-50.0,36.49,89.71,Feb 2018,
36,Fate/EXTELLA LINK,-70.0,28.19,89.61,Mar 2019,
37,The Operator,-15.0,37.81,89.57,Jul 2024,new historical low
38,Ys Origin,-75.0,9.24,89.52,May 2012,
39,We Were Here Expeditions: The FriendShip,-50.0,6.89,89.35,Sep 2023,
40,We Were Here Forever,-50.0,27.49,89.32,May 2022,
41,Venba,-50.0,23.49,89.28,Jul 2023,new historical low
